0,구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59
1,개화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,김포공항,2.208,3.9299999999999997,6.26,15.668000000000001,20.96,39.5,26.439999999999998,17.4,11.027999999999999,5.598000000000001,6.334,6.55,6.074,6.822,5.392,7.94,5.458,6.308,8.492,8.044,5.140000000000001,6.862,5.377999999999999,6.272,7.964,11.245999999999999,12.272,7.890000000000001,6.194,5.732,4.276000000000001,4.8100000000000005,4.836,7.992,12.303999999999998,8.478,1.528
3,공항시장,5.639999999999999,5.258,7.4319999999999995,18.642,25.259999999999998,44.44799999999999,29.04,20.528000000000002,12.542,8.704,7.662000000000001,7.7700000000000005,7.258,7.69,6.546000000000001,6.624,7.638,7.113999999999999,9.623999999999999,8.952000000000002,5.9159999999999995,7.709999999999999,4.85,6.478,7.178,11.312000000000001,11.633999999999999,7.789999999999999,6.284000000000001,5.640000000000001,3.772,4.444,4.01,3.1559999999999997,11.016,7.8100000000000005,1.568
4,신방화,12.62,11.478,13.706,31.374000000000002,43.126,62.001999999999995,38.626,31.562,18.932,13.95,11.648,12.303999999999998,10.108,12.146,10.214,12.267999999999999,11.110000000000001,9.65,12.818000000000001,11.45,8.584,8.360000000000001,10.188,9.345999999999998,8.472,12.535999999999998,13.906,7.85,6.65,5.9799999999999995,4.717999999999999,5.4319999999999995,4.68,2.918,11.7,8.241999999999999,1.458
5,마곡나루,4.3,7.703999999999999,9.556000000000001,22.742,32.089999999999996,51.552,51.89000000000001,26.059999999999995,19.824,10.334,10.372,9.225999999999999,8.361999999999998,8.316,9.78,11.132000000000001,10.554,6.506,11.738,11.133999999999999,9.346,7.703999999999999,9.977999999999998,9.748000000000001,8.638,14.098000000000003,18.576,10.7,7.276000000000001,7.624,5.362,7.702,5.654000000000001,5.128,15.024000000000001,11.594,1.844
6,양천향교,7.029999999999999,11.136,13.672,34.438,47.33,62.824,55.612,32.932,22.534,14.530000000000001,14.581999999999999,12.565999999999999,12.438,12.898,13.685999999999998,15.314000000000002,15.38,11.739999999999998,14.526,15.342000000000002,14.618,10.904,13.172,16.416,14.841999999999999,27.748,25.506,16.400000000000002,9.436,9.964,6.6240000000000006,10.386,7.494,4.970000000000001,15.616000000000003,13.962,2.9880000000000004
7,가양,5.086,9.780000000000001,15.218,31.762,43.364,62.51800000000001,55.95,29.366000000000003,18.258000000000003,12.935999999999998,10.595999999999998,10.108,11.241999999999999,10.202,11.594000000000001,11.937999999999999,11.331999999999999,9.032,11.514,11.356,10.698000000000002,7.886,12.24,13.102,10.506,17.031999999999996,17.512,10.580000000000002,4.574,6.442,3.7999999999999994,5.784,4.798,2.788,17.074,14.315999999999997,2.878
8,증미,5.952,11.476,17.592,37.27,53.146,62.746,58.282,33.366,20.759999999999998,13.894,11.358,13.252,12.658,12.556,13.882,14.184000000000001,12.976000000000003,11.644,13.568000000000001,13.132,14.078,9.274000000000001,13.91,16.240000000000002,13.87,30.692,22.634,13.206,7.866,7.098000000000001,4.564,6.362,4.724,2.644,16.564,14.514000000000001,2.838
9,등촌,11.398,17.59,25.042,55.472,80.516,90.428,79.55,51.69199999999999,36.164,19.034,15.736,16.669999999999998,16.21,15.998000000000001,16.856,17.669999999999998,13.972,13.565999999999999,13.91,14.736,13.488,10.690000000000001,15.854000000000003,20.534000000000002,14.586000000000002,34.708,22.954,13.901999999999997,8.692,7.336,5.784,6.678,4.272,3.97,17.394,14.238,2.368
10,염창,12.264,10.886000000000001,27.708,55.215999999999994,89.708,108.724,92.91999999999999,59.85600000000001,41.57000000000001,22.154,17.630000000000003,18.642,16.526,12.933999999999997,18.142000000000003,18.958000000000002,15.303999999999998,13.974,14.238,11.437999999999999,14.41,11.544,16.618000000000002,21.874,16.279999999999998,35.684000000000005,24.058,15.074000000000002,9.742,7.742000000000002,6.9,7.202,4.486,4.548,16.96,16.288000000000004,2.0860000000000003
11,신목동,14.568000000000001,13.172000000000002,32.065999999999995,65.022,100.852,119.55199999999999,102.662,66.75800000000001,47.144,26.778000000000002,20.166000000000004,20.678,14.278,18.892000000000003,20.48,21.418,17.552,15.95,16.236,13.764,15.604,12.939999999999998,18.970000000000002,21.6,17.706,34.708000000000006,26.478,16.146,10.572000000000001,8.494,7.178,8.364,5.3740000000000006,5.324,16.996,18.668,2.92
12,선유도,16.248,15.613999999999999,30.988000000000007,64.59,109.77799999999999,125.83999999999999,109.946,75.60600000000001,51.428,28.867999999999995,21.654000000000003,22.086000000000002,15.538,21.258,23.204,24.648,19.786,18.102,18.378,19.695999999999998,18.956,15.65,26.138000000000005,26.095999999999997,27.028000000000002,53.788,37.138,23.637999999999998,13.941999999999998,11.594,9.822,11.056,6.952000000000001,6.136,17.236,21.336000000000002,5.862
13,당산,16.406,17.546,32.724000000000004,64.696,113.072,125.268,137.648,64.878,65.36399999999999,30.174,23.991999999999997,23.311999999999998,23.624,21.046,25.284,23.926,22.1,18.193999999999996,17.590000000000003,18.668,19.758,14.966000000000003,19.826,18.246000000000002,20.628000000000004,34.89200000000001,26.897999999999996,18.234,11.622,9.866,8.398,9.052,7.062,6.316,14.63,22.595999999999997,10.806000000000001
14,국회의사당,14.791999999999998,15.219999999999999,28.186,53.426,88.03,89.82,73.726,43.827999999999996,45.053999999999995,25.834000000000003,21.296,22.220000000000002,25.124000000000002,24.977999999999998,26.78,26.808,24.794,24.098000000000003,25.176,27.926,25.99,24.734,29.336000000000002,37.084,49.31999999999999,103.348,68.664,37.562,24.56,20.496000000000002,20.312,23.114,15.524000000000001,12.974,19.062,26.07,10.928
15,여의도,9.479999999999999,15.498000000000001,27.076,33.958,52.263999999999996,64.622,49.358000000000004,40.94,40.553999999999995,26.648000000000003,22.048000000000002,23.348,25.598,24.333999999999996,26.778,28.568,21.927999999999997,25.556,27.330000000000002,29.78,30.002,33.866,28.824,34.403999999999996,41.452,74.522,56.290000000000006,27.034,18.115999999999996,17.168,16.092000000000002,17.34,13.806000000000001,10.425999999999998,22.518,30.449999999999996,13.056000000000001
16,샛강,9.056000000000001,14.866,26.177999999999997,31.195999999999998,46.065999999999995,58.712,40.164,44.602,36.8,26.426000000000005,22.598000000000003,22.902,24.494,24.574,27.084000000000003,28.976,21.848000000000003,26.054000000000002,27.518,31.002,32.458,36.706,27.662,40.818,46.519999999999996,89.748,73.85799999999999,38.158,22.637999999999998,19.456,18.34,20.85,17.802,11.91,11.122,31.580000000000002,13.053999999999998
17,노량진,13.762,21.310000000000002,34.05200000000001,36.928000000000004,56.688,86.494,53.988,59.812,49.382000000000005,36.258,25.913999999999998,25.622000000000003,25.994,26.345999999999997,30.436,31.436,30.121999999999996,27.466,22.954,29.186,31.540000000000003,34.05,27.794,36.269999999999996,41.098,64.63,69.748,34.696,22.086,16.604000000000003,17.852,17.694,16.580000000000002,11.26,11.754,32.116,11.239999999999998
18,노들,17.747999999999998,23.018,36.548,41.672000000000004,62.712,94.696,59.734,65.21600000000001,52.102,38.758,27.99,26.896000000000004,27.701999999999998,27.869999999999997,31.709999999999997,31.738,31.46,28.541999999999994,23.505999999999997,29.476,31.75,33.525999999999996,29.026,43.525999999999996,38.967999999999996,57.39200000000001,65.338,32.196,20.772,15.474,16.092,16.064,14.342000000000002,10.600000000000001,11.044,31.660000000000004,12.15
19,흑석,20.549999999999997,22.573999999999998,40.938,41.148,62.48,95.826,60.910000000000004,67.826,55.45399999999999,38.902,29.856,28.976,28.174,28.504,32.891999999999996,32.355999999999995,32.028000000000006,29.660000000000004,29.698,30.726,32.38199999999999,32.382,30.106,38.098,40.906000000000006,56.47800000000001,65.944,33.836,19.728,14.974,15.947999999999999,16.22,12.95,10.072,11.306000000000001,32.815999999999995,18.101999999999997
20,동작,7.562,15.225999999999999,27.056,39.81400000000001,60.736000000000004,94.736,64.85999999999999,68.12,47.196000000000005,28.396000000000004,21.498,16.814,18.378,17.828000000000003,19.578,21.573999999999998,21.628000000000004,18.43,19.864,19.678,21.796,20.284,16.972,26.662,34.602,42.838,57.07000000000001,29.04,17.25,13.035999999999998,12.933999999999997,13.190000000000001,10.822,8.298,6.126,29.106,16.881999999999998
21,구반포,5.4,13.5,25.046,37.06,56.302,93.41399999999999,61.782,65.944,48.117999999999995,28.106,19.826,15.776000000000002,17.433999999999997,17.078,18.418,20.35,20.997999999999998,17.812000000000005,18.064,18.866,21.036,19.573999999999998,16.32,26.556,33.272000000000006,38.722,55.322,27.341999999999995,16.548,12.99,11.148,11.818000000000001,11.386,7.497999999999999,4.338,26.908000000000005,15.734
22,신반포,5.6000000000000005,12.224,12.78,34.233999999999995,56.92999999999999,94.264,62.656000000000006,67.25,48.986000000000004,29.568,20.654,17.182,17.76,17.944,16.446,21.375999999999998,22.246000000000002,19.008,19.718,20.362000000000002,22.942,21.375999999999998,19.912,30.5,34.852,41.336,56.282000000000004,28.829999999999995,18.218,13.896,12.292,13.290000000000001,12.898000000000001,9.034,6.284,27.752,16.288
23,고속터미널,3.9839999999999995,12.264,13.25,24.247999999999998,36.968,56.68000000000001,43.896,51.91799999999999,47.248000000000005,24.427999999999997,20.27,15.132,16.262,16.722,13.804000000000002,19.168,20.836,17.158,17.324,18.838,16.918,20.048000000000002,17.4,27.356,28.53,32.839999999999996,43.306,26.201999999999998,16.520000000000003,13.882,12.358,12.278,12.935999999999998,7.6739999999999995,6.706,24.147999999999996,12.187999999999999
24,사평,3.9840000000000004,10.54,11.041999999999998,20.733999999999998,34.364,53.324,52.298,48.366,46.682,24.032,19.404,13.947999999999999,15.132,15.577999999999998,13.174000000000001,18.035999999999998,18.774,16.906,15.931999999999999,17.04,16.130000000000003,18.748,16.478,26.242,24.333999999999996,29.818,36.656,22.246000000000002,15.685999999999998,11.831999999999999,11.190000000000001,11.187999999999999,10.581999999999999,8.086000000000002,5.896,17.614,7.154000000000001
25,신논현,3.258,10.032,11.001999999999999,21.022000000000002,36.45399999999999,60.184000000000005,58.222,49.58,42.426,24.532000000000004,17.982000000000003,14.697999999999999,14.514000000000001,11.872,17.104,18.151999999999997,18.574,16.83,16.590000000000003,18.288,15.856,19.534,18.974,24.052,22.939999999999998,30.756,36.519999999999996,24.794,16.678,14.251999999999999,13.01,14.985999999999999,11.884,9.504000000000001,7.608,12.738,18.75
26,언주,2.2779999999999996,5.5600000000000005,7.5299999999999985,15.290000000000001,23.386,35.87,39.006,32.202,27.502,18.04,12.096,11.541999999999998,11.632000000000001,12.819999999999999,15.080000000000002,15.579999999999998,13.988,14.462,14.410000000000002,17.234,17.55,19.363999999999997,18.933999999999997,26.426,26.872000000000003,40.269999999999996,41.702,30.54,17.25,15.224,13.436000000000002,16.101999999999997,12.04,9.886000000000001,7.214,10.081999999999999,17.627999999999997
27,선정릉,2.1699999999999995,4.758000000000001,7.806,16.259999999999998,24.94,35.092,45.16,31.451999999999998,21.928000000000004,18.758000000000003,12.216,12.372,11.2,12.382000000000001,14.16,15.618,14.15,14.291999999999998,14.868,14.604000000000003,17.355999999999998,18.572000000000003,20.418,21.966,26.254,39.702,41.782,32.06400000000001,18.248,16.406,14.301999999999998,17.247999999999998,13.7,11.85,7.482000000000001,15.708000000000002,18.458000000000002
28,삼성중앙,2.128,3.354,5.5600000000000005,9.776,14.764,23.413999999999998,21.502,17.018,12.134,11.65,8.440000000000001,9.152000000000001,9.124,10.489999999999998,10.844000000000001,12.645999999999999,12.725999999999999,12.161999999999999,12.778,12.952000000000002,15.11,16.842000000000002,18.365999999999996,21.868,26.622000000000003,40.25,42.07600000000001,31.516000000000002,19.192,16.466,14.331999999999999,18.526,13.214000000000002,11.476,7.272,9.928,15.756
29,봉은사,1.6940000000000002,2.3280000000000003,4.538,5.928,8.521999999999998,14.376,10.912,10.187999999999999,7.797999999999999,7.256,5.404,5.7299999999999995,6.088,8.716,8.362,10.332,9.148,9.514,11.754,11.606,13.606,16.285999999999998,18.625999999999998,20.297999999999995,30.353999999999996,45.048,47.434000000000005,36.988,25.222,18.142,16.972,19.576,16.366000000000003,13.422,8.146,10.094,16.272
30,종합운동장,2.288,2.9200000000000004,4.970000000000001,7.516000000000001,7.859999999999999,14.948000000000002,14.262,10.963999999999999,10.416,9.03,7.6259999999999994,7.0200000000000005,7.281999999999999,10.435999999999998,10.45,11.896,11.712,11.568000000000001,13.094,10.174,15.157999999999998,18.509999999999998,21.139999999999997,21.79,34.68000000000001,47.076,58.004000000000005,45.55400000000001,31.163999999999998,22.426,22.534000000000002,23.822000000000003,21.206,16.8,10.602,10.096,17.235999999999997
31,삼전,2.064,2.4859999999999998,4.656000000000001,7.965999999999999,9.2,15.994,12.776,11.118,9.768,6.862,6.859999999999999,6.228,5.8759999999999994,8.548,8.414,9.898,10.004,9.294,10.724,10.044,13.069999999999999,16.223999999999997,16.644000000000002,17.702,27.534000000000002,35.4,45.775999999999996,33.952000000000005,24.124000000000002,17.182000000000002,15.148,17.656,14.190000000000001,11.002,7.638,5.890000000000001,13.034
32,석촌고분,3.354,3.1180000000000003,4.684,9.621999999999998,10.360000000000001,16.913999999999998,11.395999999999999,10.178,8.27,6.598000000000001,6.413999999999999,6.2559999999999985,5.518,8.15,7.5200000000000005,9.422,9.138,8.925999999999998,9.776,8.346,11.596,15.144,15.776,15.729999999999999,24.529999999999998,33.327999999999996,36.876,25.663999999999998,18.286,12.436,10.238000000000001,13.474,9.688,8.296000000000001,5.468000000000001,4.22,10.978
33,석촌,2.054,2.388,3.7479999999999998,4.101999999999999,5.32,8.73,8.225999999999999,5.6,6.438,4.798,4.652,3.878,4.196,5.466,6.192,5.444000000000001,6.1,6.468000000000001,6.706,5.272,7.442,8.254000000000001,9.27,8.872,14.748,15.696000000000002,21.074,16.796,11.558,7.691999999999998,6.9799999999999995,6.664,7.362,5.838,4.672,3.85,9.15
34,송파나루,1.734,1.6179999999999999,2.316,2.84,3.322,4.968000000000001,3.53,2.544,2.8339999999999996,2.31,2.7079999999999997,2.302,1.998,3.7599999999999993,3.116,2.59,3.588,3.526,3.604,2.3400000000000003,4.142,4.064,5.087999999999999,3.94,8.819999999999999,8.886,9.844,7.723999999999999,4.89,3.868,3.5380000000000003,3.7619999999999996,3.222,2.9579999999999997,2.21,2.054,5.246
35,한성백제,1.8539999999999999,2.0119999999999996,1.4580000000000002,1.814,3.082,4.232,2.186,1.8920000000000001,2.392,1.8259999999999998,2.632,1.8,1.5759999999999998,2.1719999999999997,2.8400000000000003,1.3820000000000001,2.8299999999999996,2.9219999999999997,3.246,2.7619999999999996,2.604,3.3920000000000003,4.26,3.768,7.098000000000001,8.6,7.394,4.924,2.874,2.908,2.392,3.1420000000000003,2.154,1.8539999999999999,1.3399999999999999,1.328,3.9979999999999998
36,올림픽공원,0.666,1.97,1.1420000000000001,2.052,2.058,3.084,1.3399999999999999,0.8219999999999998,1.4200000000000002,0.882,1.6179999999999999,0.866,0.47000000000000003,0.8019999999999999,1.656,0.9059999999999999,1.222,1.2879999999999998,1.1059999999999999,0.654,0.8520000000000001,0.9880000000000001,1.206,0.8879999999999999,1.8679999999999999,1.7879999999999998,2.3120000000000003,1.9799999999999998,1.39,0.9979999999999999,0.8,1.144,1.764,0.526,0.736,0.5900000000000001,1.7579999999999998
37,둔촌오륜,0.512,0.71,0.196,1.3379999999999999,1.1720000000000002,1.848,1.082,0.866,1.4460000000000002,1.012,1.6139999999999997,0.826,0.366,0.8560000000000001,0.552,1.7240000000000002,0.9860000000000001,0.9460000000000001,0.654,0.788,0.548,0.632,0.9219999999999999,0.6300000000000001,1.4860000000000002,0.712,1.3519999999999999,1.182,1.0639999999999998,0.696,0.4720000000000001,0.748,1.024,0.35600000000000004,0.562,0.596,1.4979999999999998
38,중앙보훈병원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0