idx ,역명  , 수도권             ,위도       ,경도 , 선명
0 ,개화역         ,수도권 ,37.5783372913891 ,126.796882325598 ,09호선
1 ,김포공항역     ,수도권 ,37.5619477391215 ,126.801906881417 ,09호선
2 ,공항시장역     ,수도권 ,37.5636738875486 ,126.810594967667 ,09호선
3 ,신방화역       ,수도권 ,37.567486525915  ,126.817218331242 ,09호선
4 ,마곡나루역     ,수도권 ,37.5667089856741 ,126.827407353953 ,09호선
5 ,양천향교역     ,수도권 ,37.5680628368766 ,126.841960762674 ,09호선
6 ,증미역         ,수도권 ,37.5581213429662 ,126.860633381512 ,09호선
7 ,등촌역         ,수도권 ,37.5507208571932 ,126.865558572269 ,09호선
8 ,선유도역       ,수도권 ,37.5381532418967 ,126.89332482044  ,09호선
9 ,염창역         ,수도권 ,37.5469649168106 ,126.874867107681 ,09호선
10 ,신목동역       ,수도권 ,37.5442703452459 ,126.883086765892 ,09호선
11 ,당산역         ,수도권 ,37.5347735014069 ,126.902607283905 ,09호선
12 ,국회의사당역   ,수도권 ,37.5281356801658 ,126.917820861804 ,09호선
13 ,여의도역       ,수도권 ,37.5211664706025 ,126.924638422261 ,09호선
14 ,샛강역         ,수도권 ,37.517366563071  ,126.92837506516  ,09호선
15 ,노량진역       ,수도권 ,37.5135712531779 ,126.940888666744 ,09호선
16 ,노들역         ,수도권 ,37.5126577019678 ,126.953082505556 ,09호선
17 ,흑석역         ,수도권 ,37.5091654663414 ,126.96344496646  ,09호선
18 ,동작역         ,수도권 ,37.5029705640491 ,126.980299007575 ,09호선
19 ,구반포역       ,수도권 ,37.5014218099211 ,126.987446814026 ,09호선
20 ,신반포역       ,수도권 ,37.5034947245635 ,126.996064297745 ,09호선
21 ,고속터미널역   ,수도권 ,37.5045398449292 ,127.005134579686 ,09호선
22 ,사평역         ,수도권 ,37.50423262798   ,127.015267960691 ,09호선
23 ,신논현역       ,수도권 ,37.5048075124198 ,127.025469415506 ,09호선
24 ,석촌고분역     ,수도권 ,37.5024642758104 ,127.096491224145 ,09호선
25 ,석촌역         ,수도권 ,37.5054105299706 ,127.106990485844 ,09호선
26 ,송파나루역     ,수도권 ,37.5110095122823 ,127.112653785965 ,09호선
27 ,한성백제역     ,수도권 ,37.5165199821667 ,127.116440092824 ,09호선
28 ,올림픽공원역   ,수도권 ,37.5163245709914 ,127.130963650207 ,09호선
29 ,둔촌오륜역     ,수도권 ,37.5193972411893 ,127.138638475396 ,09호선
30 ,중앙보훈병원역 ,수도권 ,37.5283953876669 ,127.148407138571 ,09호선
31 ,가양역         ,수도권 ,37.5614294894973 ,126.854402192224 ,09호선
32 ,선정릉역       ,수도권 ,37.5109290398758 ,127.043613714302 ,09호선
33 ,삼성중앙역     ,수도권 ,37.5129614592575 ,127.053025579452 ,09호선
34 ,봉은사역       ,수도권 ,37.5142374358367 ,127.060220347306 ,09호선
35 ,종합운동장역   ,수도권 ,37.5111302556967 ,127.07383586044  ,09호선
36 ,삼전역         ,수도권 ,37.5045436968849 ,127.08735570822  ,09호선
37 ,언주역         ,수도권 ,37.5073281931356 ,127.033952822224 ,09호선